%	1-10788-38147-A-29.05.2015-p10				
Zeit	Drehmoment	Geschwindigkeit	Position	Lag_error	Position_difference
0	4.213509083	-1.336119294	0.014324188	0.004567764	-0.000386089
0.0008	3.11596179	-0.738636971	0.005931854	0.003020685	-0.001063943
0.0016	1.984833717	-0.301105052	0.00169754	0.002692253	-0.000703633
0.0024	0.824288785	-0.034688801	0.000190735	0.002159711	-0.00061661
0.0032	-0.320089936	0.051904537	0	0.001953095	-0.000239313
0.004	-0.881137371	-0.022656048	0	0.001953095	-7.89762E-05
0.0048	-0.721892238	-0.115540273	0	0.001953095	-0.000766516
0.0056	-0.382065684	-0.15698725	0	0.002929717	-0.000969172
0.0064	-0.092281595	-0.153859362	0	0.004882813	-0.000304133
0.0072	-0.01253413	-0.12250182	0	0.005859286	-0.000411868
0.008	0.000332831	-0.078585893	0	0.006835908	-0.000196397
0.0088	-0.012080948	-0.0351796	0	0.006835908	-0.000598133
0.0096	-0.074232824	-0.000475778	0	0.006835908	-0.000686944
0.0104	-0.213253349	0.013427875	0	0.00781253	0.000389218
0.0112	-0.224091932	0.006138468	0	0.00781253	0.000470579
0.012	-0.176162422	-0.005269474	0	0.006835908	-0.000521243
0.0128	-0.104007311	-0.003570345	0	0.00781253	0.000399649
0.0136	-0.094388299	0.006920097	0	0.006835908	-0.00055939
0.0144	-0.127736121	0.011627004	0	0.006835908	-0.0004673
0.0152	-0.104271337	0.006482261	0	0.006835908	-0.000396669
0.016	-0.055376176	0.001559981	0	0.00781253	0.000604987
0.0168	-0.00622809	0.002248854	0	0.006835908	-0.000362098
0.0176	-0.011793074	0.006631872	0	0.006835908	-0.000320375
0.0184	0.002016414	0.010109561	0	0.006835908	-0.000245869
0.0192	0.001243223	0.011630767	0	0.00781253	0.000824034
0.019999999	0.005849876	0.011129797	0	0.006835908	-5.90086E-05
0.020799999	-0.002866252	0.009533864	0	0.006835908	2.38419E-05
0.021599999	0.001655418	0.008055761	0	0.006835908	8.79169E-05
0.022399999	0.076848626	0.015460526	0	0.006835908	0.000176132
0.023199999	0.092859998	0.028896647	0	0.006835908	0.0003618
0.023999999	0.07256972	0.040465239	0	0.006835908	0.000655055
0.024799999	0.026844678	0.043870486	0	0.006835908	0.001004934
0.025599999	0.029322606	0.040646732	0	0.005859286	0.000361502
0.026399999	0.023085754	0.037073862	0	0.005859286	0.000668466
0.027199999	0.097845078	0.037362784	0	0.005859286	0.00095576
0.027999999	0.062244438	0.039830223	0	0.004882813	0.000291616
0.028799999	0.023503872	0.037376732	0	0.004882813	0.00060305
0.029599999	0.065669671	0.034019642	0	0.00390619	-9.64105E-05
0.030399999	0.030988785	0.030950662	0	0.004882813	0.001141578
0.031199999	0.063095011	0.025971852	0	0.00390619	0.000384301
0.031999999	0.047584891	0.024235753	0	0.00390619	0.000583977
0.032799999	0.089245245	0.022180783	0	0.00390619	0.000766069
0.033599999	0.089745522	0.025218844	0	0.00390619	0.000957698
0.034399999	0.046680015	0.024570532	0	0.002929717	0.000190139
0.035199999	0.047250256	0.020003784	0	0.002929717	0.000365078
0.035999999	0.053027976	0.018628716	0	0.002929717	0.000517964
0.036799999	0.084465891	0.018114366	0	0.002929717	0.000661016
0.037599999	0.093572713	0.018641012	0	0.002929717	0.000805855
0.038399999	0.06816905	0.019335166	0	0.002929717	0.000957549
0.039199999	0.071777664	0.017655604	0	0.001953095	0.000124872
0.039999999	0.043546677	0.015948758	0	0.001953095	0.000256896
0.040799999	0.063910566	0.013066738	0	0.001953095	0.000365376
0.041599999	0.070025057	0.010921521	0	0.001953095	0.00045687
0.042399999	0.068318151	0.010759505	0	0.001953095	0.000543892
0.043199999	0.087548546	0.010507235	0	0.001953095	0.000625849
0.043999999	0.102483481	0.011841886	0	0.001953095	0.000714362
0.044799999	0.078574784	0.012353711	0	0.001953095	0.000815988
0.045599999	0.110328324	0.014499802	0	0.001953095	0.000925064
0.046399999	0.071562424	0.015313798	0	0.000976473	7.77841E-05
0.047199999	0.070897847	0.012971174	0	0.001953095	0.001170039
0.047999999	0.10359095	0.011865498	0	0.000976473	0.000288188
0.048799999	0.054116316	0.011265539	0	0.000976473	0.000385344
0.049599999	0.034949888	0.006534175	0	0.000976473	0.000455081
0.050399999	0.086497158	0.004310627	0	0.000976473	0.000490248
0.051199999	0.075315878	0.003892259	0	0.000976473	0.000523925
0.051999999	0.084395029	0.004834686	0	0.000976473	0.000558496
0.052799999	0.096483469	0.005200924	0	0.000976473	0.000597537
0.053599999	0.107956618	0.006332088	0	0.000976473	0.000640452
0.054399999	0.09786763	0.008777658	0	0.000976473	0.000702143
0.055199999	0.068122782	0.007421765	0	0.000976473	0.00076741
0.055999999	0.11213696	0.006862046	0	0.000976473	0.000817478
0.056799999	0.071886718	0.006836377	0	0.000976473	0.000876486
0.057599999	0.092363313	0.005689246	0	0.000976473	0.000926554
0.058399999	0.11938408	0.006744451	0	0.000976473	0.000976324
0.059199999	0.097804517	0.007015292	0	0.000976473	0.001038015
0.059999998	0.107510656	0.006343041	0	0.000976473	0.001092255
0.060799998	0.107164353	0.00669218	0	0.000976473	0.001147091
0.061599998	0.104648933	0.007878155	0	0.000976473	0.001205504
0.062399998	0.086532421	0.006871944	0	0	0.000287443
0.063199998	0.049595114	0.003139645	0	0	0.00032559
0.063999998	0.062937289	-0.000930673	0	0	0.000324398
0.064799998	0.089415215	-0.001660042	0	0	0.000305921
0.065599998	0.065468371	0.00140499	0	0	0.000311285
0.066399998	0.069517709	0.000721111	0	0	0.000322014
0.067199998	0.064730279	0.000650429	0	0	0.00032708
0.067999998	0.089399941	0.000478373	0	0	0.000329167
0.068799998	0.094519041	0.001082293	0	0	0.000335723
