%	3-10788-38173-A-andereRichtung				
Zeit	Drehmoment	Geschwindigkeit	Position	Lag_error	Position_difference
0	4.289513588	-1.267784595	0.014324188	0.008466355	-0.026532412
0.0008	2.938625813	-0.659925461	0.005931854	0.005942803	-0.027562082
0.0016	1.685709119	-0.232501745	0.00169754	0.005614371	-0.026612878
0.0024	0.54176271	0.014563158	0.000190735	0.004105206	-0.027054548
0.0032	-0.594359934	0.083509192	0	0.003898591	-0.026398897
0.004	-1.098919749	-0.002706231	0	0.002921969	-0.027028024
0.0048	-0.908281326	-0.104933619	0	0.002921969	-0.027612746
0.0056	-0.548523247	-0.151015788	0	0.003898591	-0.027763844
0.0064	-0.27903524	-0.149164811	0	0.005851686	-0.027066022
0.0072	-0.135503292	-0.112541281	0	0.006828308	-0.027112812
0.008	-0.136495426	-0.070028491	0	0.007804781	-0.026821792
0.0088	-0.19829081	-0.025340851	0	0.007804781	-0.02714783
0.0096	-0.28494063	0.005745705	0	0.007804781	-0.02717346
0.0104	-0.377198428	0.017644454	0	0.007804781	-0.027035773
0.0112	-0.435476273	0.009214598	0	0.007804781	-0.026919544
0.012	-0.349088699	-0.003112125	0	0.007804781	-0.026914179
0.0128	-0.27135548	-0.003612462	0	0.007804781	-0.026958287
0.0136	-0.254858106	0.007019911	0	0.007804781	-0.026943982
0.0144	-0.256170481	0.013626272	0	0.007804781	-0.026854575
0.0152	-0.269747645	0.014393073	0	0.007804781	-0.026736557
0.016	-0.226023361	0.012708738	0	0.007804781	-0.02663821
0.0168	-0.184686184	0.013013248	0	0.007804781	-0.02653867
0.0176	-0.152630568	0.013777338	0	0.007804781	-0.026434362
0.0184	-0.135265529	0.016060269	0	0.007804781	-0.026311576
0.0192	-0.129126057	0.01801903	0	0.007804781	-0.026171505
0.019999999	-0.096601084	0.021242756	0	0.007804781	-0.026009381
0.020799999	-0.126022875	0.022831909	0	0.006828308	-0.026799887
0.021599999	-0.120286718	0.021459743	0	0.006828308	-0.026618689
0.022399999	-0.069256626	0.0170899	0	0.006828308	-0.026461929
0.023199999	-0.036845565	0.017478023	0	0.006828308	-0.026324838
0.023999999	-0.04509113	0.01805176	0	0.006828308	-0.026178807
0.024799999	-0.000365755	0.020620815	0	0.006828308	-0.026022643
0.025599999	-0.010277569	0.023398399	0	0.005851686	-0.026819259
0.026399999	-0.029909959	0.02369307	0	0.005851686	-0.026628524
0.027199999	-0.008426583	0.022826731	0	0.005851686	-0.026444942
0.027999999	-0.000250948	0.022176538	0	0.005851686	-0.026270896
0.028799999	0.003964551	0.023784341	0	0.005851686	-0.026089102
0.029599999	-0.000351741	0.025058296	0	0.005851686	-0.025896579
0.030399999	-0.001003977	0.027270647	0	0.004875213	-0.02666384
0.031199999	0.003828867	0.028368181	0	0.004875213	-0.02643913
0.031999999	-0.000451826	0.029982772	0	0.004875213	-0.026201904
0.032799999	-0.000290944	0.028519062	0	0.004875213	-0.025967062
0.033599999	-0.024914585	0.027682522	0	0.003898591	-0.026720166
0.034399999	-0.012816186	0.022424145	0	0.003898591	-0.026520491
0.035199999	-0.007872608	0.018100124	0	0.003898591	-0.026363134
0.035999999	0.009977885	0.016488768	0	0.003898591	-0.026226044
0.036799999	0.006236613	0.016825778	0	0.003898591	-0.026092529
0.037599999	0.001592999	0.017917864	0	0.003898591	-0.025951862
0.038399999	0.004107146	0.020174727	0	0.003898591	-0.025798082
0.039199999	0.00038242	0.023016617	0	0.002921969	-0.026597083
0.039999999	-0.000831414	0.025299024	0	0.002921969	-0.026402175
0.040799999	0.001395043	0.026279863	0	0.002921969	-0.026195943
0.041599999	0.003703258	0.026844081	0	0.002921969	-0.025983751
0.042399999	0.006732959	0.027289126	0	0.001945496	-0.026742667
0.043199999	-0.026077881	0.02621798	0	0.001945496	-0.02652511
0.043999999	-0.04339904	0.019166116	0	0.001945496	-0.026344508
0.044799999	-0.013470882	0.010017507	0	0.001945496	-0.026238412
0.045599999	0.003970861	0.003792591	0	0.001945496	-0.026193112
0.046399999	0.001834517	0.000786517	0	0.001945496	-0.026181191
0.047199999	0.000149652	0.001539273	0	0.001945496	-0.026175231
0.047999999	0.004210772	0.007779616	0	0.001945496	-0.026135892
0.048799999	0.000253275	0.014437438	0	0.001945496	-0.026038736
0.049599999	-0.000731327	0.019705743	0	0.001945496	-0.025892705
0.050399999	0.000327676	0.022521643	0	0.001945496	-0.025718659
