%	Kombinierte Traces		NCA 4	p=10						
Zeit	Drehmoment	Standardabweichung_Drehmoment	Geschwindigkeit	StandardabweichungGeschwindigkeit	Position	StandardabweichungPosition	lag_error	Standardabweichunglag_error	Positions_differenz	StandardabweichungPositions_differenz
0	3.989087172	0.323748125	-1.138612444	0.177510314	0.011966273	0.002425826	0.003366497	0.001982838	-0.00433486	0.00261095
0.0008	2.820487283	0.31428427	-0.581049382	0.135902359	0.004687399	0.001280297	0.002555703	0.001854167	-0.00399641	0.002565186
0.0016	1.656525785	0.316444347	-0.193022911	0.092597777	0.001210986	0.000500567	0.00174858	0.00165254	-0.003841879	0.002629515
0.0024	0.504067586	0.281057915	0.023164487	0.047210427	0.000106524	8.66366E-05	0.000959401	0.001571952	-0.003790794	0.002582071
0.0032	-0.580270844	0.251504815	0.057389867	0.021830987	0	0	0.000489616	0.001623833	-0.00358489	0.002574737
0.004	-0.93910332	0.063723756	-0.035237336	0.029311512	0	0	6.58378E-05	0.001591867	-0.003934044	0.002599832
0.0048	-0.68903955	0.113365925	-0.12393375	0.017934626	0	0	0.000452776	0.001589223	-0.004326859	0.002583832
0.0056	-0.340780159	0.105514939	-0.159993201	0.015074668	0	0	0.00172414	0.00169039	-0.004282911	0.002506524
0.0064	-0.098073629	0.063431758	-0.154361427	0.019843645	0	0	0.003124498	0.001574609	-0.004176914	0.00265022
0.0072	-0.01761636	0.027239938	-0.122411423	0.023527577	0	0	0.004340585	0.001493015	-0.004055899	0.002581619
0.008	-0.008927596	0.025977024	-0.081120819	0.024133461	0	0	0.005169744	0.001309217	-0.004006166	0.00249548
0.0088	-0.040395408	0.050212576	-0.039364863	0.021341412	0	0	0.005593528	0.001169583	-0.004017305	0.002589073
0.0096	-0.101165511	0.077719432	-0.007568169	0.015949288	0	0	0.005722507	0.001103039	-0.004030162	0.00265784
0.0104	-0.185615968	0.072419145	0.008448181	0.008462629	0	0	0.005851492	0.001135289	-0.003859792	0.002582972
0.0112	-0.225122069	0.054801576	0.007475326	0.006112558	0	0	0.005796212	0.001125916	-0.003837192	0.002616699
0.012	-0.207847686	0.061758724	0.000972582	0.007034351	0	0	0.005814638	0.001084635	-0.003790768	0.00258864
