%Seriennummer:	38207		
%Standardabweichung	104.340.932	1.285.099.895	152.468.485
%Mittelwert	2.278.458.695	2.290.280.642	2.324.585.232
Punkte:	Temperatursensor1	Temperatursensor2	Temperatursensor3
1	20.72947	20.52892	20.72947
2	20.6292	20.52892	20.6292
3	20.72947	20.52892	20.6292
4	20.82975	20.82975	20.72947
5	20.93003	21.0303	20.82975
6	21.13058	21.23085	21.0303
7	21.33113	21.33113	21.13058
8	21.4314	21.33113	21.33113
9	21.4314	21.33113	21.33113
10	21.33113	21.33113	21.33113
11	21.33113	21.33113	21.4314
12	21.4314	21.33113	21.53168
13	21.53168	21.53168	21.53168
14	21.63195	21.73223	21.63195
15	21.63195	21.63195	21.63195
16	21.63195	21.4314	21.73223
17	21.63195	21.4314	21.73223
18	21.63195	21.53168	21.73223
19	21.63195	21.63195	21.73223
20	21.73223	21.8325	21.73223
21	21.8325	21.8325	21.8325
22	21.73223	21.53168	21.93278
23	21.73223	21.53168	21.8325
24	21.73223	21.53168	21.93278
25	21.63195	21.63195	21.8325
26	21.73223	21.73223	21.8325
27	21.8325	21.8325	21.93278
28	21.93278	21.73223	21.93278
29	21.8325	21.53168	22.03305
30	21.73223	21.53168	21.93278
31	21.73223	21.63195	21.93278
32	21.8325	21.8325	21.93278
33	22.13333	22.13333	22.03305
34	22.2336	22.2336	22.13333
35	22.43415	22.2336	22.2336
36	22.43415	22.2336	22.43415
37	22.53443	22.43415	22.53443
38	22.73498	22.6347	22.6347
39	22.93553	22.83525	22.73498
40	22.93553	22.83525	22.93553
41	22.93553	22.73498	22.93553
42	22.93553	22.73498	23.0358
43	23.0358	22.93553	23.0358
44	23.13608	22.93553	23.13608
45	23.23635	23.0358	23.23635
46	23.23635	22.93553	23.33663
47	23.13608	22.93553	23.33663
48	23.0358	22.93553	23.33663
49	23.0358	22.93553	23.33663
50	23.13608	23.13608	23.4369
51	23.23635	23.13608	23.4369
52	23.23635	22.93553	23.53718
53	23.13608	22.93553	23.53718
54	23.0358	22.93553	23.4369
55	23.13608	23.13608	23.53718
56	23.23635	23.23635	23.4369
57	23.33663	23.13608	23.53718
58	23.13608	22.93553	23.53718
59	23.0358	22.93553	23.63745
60	23.0358	23.0358	23.53718
61	23.23635	23.13608	23.53718
62	23.4369	23.4369	23.53718
63	23.63745	23.53718	23.63745
64	23.63745	23.53718	23.73773
65	23.838	23.63745	23.93828
66	23.73773	23.93828	24.13883
67	23.838	24.13883	24.2391
68	23.838	24.2391	24.43965
69	23.838	24.13883	24.6402
70	23.73773	24.2391	24.74048
71	23.838	24.43965	24.84075
72	24.03855	24.53993	24.94103
73	24.13883	24.53993	25.0413
74	23.838	24.43965	25.14158
75	23.838	24.43965	25.14158
76	23.838	24.53993	25.24185
77	23.93828	24.74048	25.24185
78	24.13883	24.74048	25.24185
79	24.03855	24.6402	25.24185
80	23.93828	24.53993	25.34213
81	23.93828	24.6402	25.34213
82	24.03855	24.74048	25.34213
83	24.13883	24.84075	25.34213
84	24.13883	24.6402	25.4424
85	23.93828	24.53993	25.4424
86	23.93828	24.6402	25.4424
87	24.03855	24.74048	25.4424
88	24.13883	24.84075	25.54268
89	24.03855	24.74048	25.54268
90	23.838	24.53993	25.4424
91	23.93828	24.53993	25.4424
92	23.73773	24.43965	25.4424
93	23.63745	24.33938	25.24185
94	23.33663	23.93828	25.14158
95	22.93553	23.53718	24.74048
