%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component	CTRL Current controller: Actual stator current quadrature component
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference	MittelwertStatorCurrent	StandardabweichungStatorCurrent	minus3sigmaStatorCurrent	plus3sigmaStatorCurrent
0	0.000158115	3.17063E-05	6.29964E-05	0.000253234	-4.00696E-05	1.579E-05	-8.74396E-05	7.30041E-06	0.014468193	0.002948226	0.005623515	0.023312871	0.011018758	0.003652149	6.23097E-05	0.021975206	-0.008412711	0.004445682	-0.021749757	0.004924334	0.00023108	5.05089E-05	7.95533E-05	0.000382607
0.0004	0.000135553	3.25314E-05	3.79591E-05	0.000233147	-2.86623E-05	1.36335E-05	-6.95627E-05	1.22382E-05	0.005730629	0.005174797	-0.009793763	0.021255021	0.009101202	0.003571556	-0.001613466	0.019815869	-0.008103184	0.004557277	-0.021775015	0.005568646	0.00019523	5.18267E-05	3.97496E-05	0.00035071
0.0008	0.000112572	3.33481E-05	1.25278E-05	0.000212616	-1.88752E-05	1.13821E-05	-5.30215E-05	1.52711E-05	-0.000763257	0.007559455	-0.023441623	0.021915109	0.007360672	0.003512762	-0.003177615	0.017898958	-0.007714321	0.004514221	-0.021256983	0.00582834	0.000158851	5.31182E-05	-5.03187E-07	0.000318206
0.0012	8.93512E-05	3.37379E-05	-1.18626E-05	0.000190565	-1.06731E-05	9.10079E-06	-3.79755E-05	1.66293E-05	-0.005343437	0.00960578	-0.034160776	0.023473902	0.00548267	0.003367756	-0.004620597	0.015585936	-0.007577752	0.004553067	-0.021236954	0.00608145	0.000122073	5.35607E-05	-3.86092E-05	0.000282755
0.0016	6.61562E-05	3.2484E-05	-3.12959E-05	0.000163608	-4.17979E-06	6.84827E-06	-2.47246E-05	1.6365E-05	-0.008341471	0.011238034	-0.042055573	0.02537263	0.003785363	0.00314547	-0.005651046	0.013221772	-0.007378253	0.004522948	-0.020947096	0.006190591	8.58818E-05	4.96959E-05	-6.32059E-05	0.000234969
0.002	4.37896E-05	2.83087E-05	-4.11366E-05	0.000128716	6.10818E-07	4.6708E-06	-1.34016E-05	1.46232E-05	-0.010087649	0.012490361	-0.047558731	0.027383433	0.002266922	0.002977369	-0.006665186	0.011199029	-0.007163833	0.004526011	-0.020741866	0.006414201	5.15414E-05	4.16157E-05	-7.33057E-05	0.000176389
0.0024	2.26229E-05	2.43315E-05	-5.03717E-05	9.56176E-05	3.69722E-06	2.77804E-06	-4.6369E-06	1.20313E-05	-0.010905902	0.013430372	-0.051197018	0.029385215	0.000826102	0.002548618	-0.006819752	0.008471957	-0.007058211	0.004504442	-0.020571535	0.006455114	1.93419E-05	3.85521E-05	-9.63144E-05	0.000134998
0.0028	4.13487E-06	2.50746E-05	-7.1089E-05	7.93587E-05	5.22822E-06	1.29863E-06	1.33233E-06	9.1241E-06	-0.011088053	0.01418955	-0.053656705	0.031480598	-0.00048318	0.002412447	-0.007720521	0.006754162	-0.007067911	0.004566989	-0.020768879	0.006633057	-6.83993E-06	4.43665E-05	-0.00013994	0.00012626
0.0032	-5.30611E-06	2.94249E-05	-9.35808E-05	8.29686E-05	5.5541E-06	1.65398E-06	5.92151E-07	1.0516E-05	-0.010764758	0.015025265	-0.055840554	0.034311038	-0.001450326	0.002315115	-0.00839567	0.005495019	-0.007138478	0.004533978	-0.020740413	0.006463456	-1.35795E-05	5.52865E-05	-0.000179439	0.00015228
0.0036	-1.58916E-06	4.05113E-05	-0.000123123	0.000119945	5.38387E-06	3.41876E-06	-4.8724E-06	1.56401E-05	-0.009860675	0.016262011	-0.058646708	0.038925359	-0.001755046	0.00282283	-0.010223536	0.006713443	-0.007188328	0.00450919	-0.020715897	0.006339242	3.37036E-06	7.69645E-05	-0.000227523	0.000234264
