Zeit1	Lauf1Units	Zeit2	Lauf2Units	Zeit3	Lauf3Units
0	-0.74494338	0	-1.12210393	0	-0.843390644
0.0012	-0.279297173	0.0008	-0.701521635	0.0008	-0.484053969
0.0024	-0.028590046	0.0016	-0.378627628	0.0016	-0.218604058
0.0036	0.019518508	0.0024	-0.146691948	0.0024	-0.038370743
0.0048	-0.070605926	0.0032	-0.003012205	0.0032	0.039045684
0.006	-0.101443917	0.004	0.03229627	0.004	-0.011715747
0.0072	-0.08941111	0.0048	-0.032729127	0.0048	-0.083079778
0.0084	-0.06134861	0.0056	-0.085389629	0.0056	-0.09735617
0.0096	-0.030707344	0.0064	-0.097602978	0.0064	-0.083254151
0.010799999	-0.011592809	0.0072	-0.084862135	0.0072	-0.059732322
0.011999999	-0.000628172	0.008	-0.065718777	0.008	-0.033665977
0.013199999	-0.000221691	0.0088	-0.04272937	0.0088	-0.017592018
0.014399999	-4.30451E-05	0.0096	-0.023830235	0.0096	-0.011250917
0.015599999	0.001317149	0.0104	-0.009368379	0.0104	-0.005918588
0.016799999	0.000623612	0.0112	-0.002988336	0.0112	0.001045699
0.017999999	0.003343879	0.012	-0.0016862	0.012	0.002030447
0.019199999	0.004217588	0.0128	-0.002619958	0.0128	-0.0013539
0.020399999	0.001434944	0.0136	-0.002138151	0.0136	-0.00228254
0.021599999	-0.001241849	0.0144	-0.002201171	0.0144	0.001710673
0.022799999	0.002872353	0.0152	2.07517E-05	0.0152	0.003385173
0.023999999	0.004834207	0.016	-0.000157028	0.016	0.000304706
0.025199999	0.003826436	0.0168	-0.000866631	0.0168	-0.000670135
0.026399999	-0.000696912	0.0176	0.000122787	0.0176	0.001448233
0.027599999	0.001774922	0.0184	-1.63905E-06	0.0184	0.0024747
0.028799999	0.002872924	0.0192	0.000335174	0.0192	0.000629643
0.029999999	0.005067046	0.019999999	0.0001979	0.019999999	0.000318749
0.031199998	0.003757897	0.020799999	0.002303422	0.020799999	0.002152651
0.032399998	0.002270608	0.021599999	0.001978669	0.021599999	0.002537353
0.033599998	0.003595459	0.022399999	0.000980484	0.022399999	0.002356506
0.034799998	0.00515517	0.023199999	0.002166069	0.023199999	0.000910966
0.035999998	0.004620747	0.023999999	0.003171491	0.023999999	0.001537738
0.037199998	0.004998895	0.024799999	0.001269239	0.024799999	0.00376552
0.038399998	0.00418524	0.025599999	9.79539E-05	0.025599999	0.004491489
0.039599998	0.006356479	0.026399999	0.001133022	0.026399999	0.003233011
0.040799998	0.00763372	0.027199999	0.004122067	0.027199999	-0.000980717
0.041999998	0.000561655	0.027999999	0.002874646	0.027999999	0.000469559
