Zeit1	Lauf1Units	Lauf1mm	Zeit2	Lauf2Units	Lauf2mm	Zeit3	Lauf3Units	Lauf3mm
0	457	0.008716583	0	821	0.015659332	0	557	0.010623932
0.0012	119	0.002269745	0.0008	423	0.008068085	0.0008	258	0.004920959
0.0024	9	0.000171661	0.0016	180	0.003433228	0.0016	92	0.001754761
0.0036	0	0	0.0024	55	0.001049042	0.0024	19	0.000362396
0.0048	0	0	0.0032	7	0.000133514	0.0032	0	0
0.006	0	0	0.004	0	0	0.004	0	0
0.0072	0	0	0.0048	0	0	0.0048	0	0
0.0084	0	0	0.0056	0	0	0.0056	0	0
0.0096	0	0	0.0064	0	0	0.0064	0	0
0.010799999	0	0	0.0072	0	0	0.0072	0	0
0.011999999	0	0	0.008	0	0	0.008	0	0
0.013199999	0	0	0.0088	0	0	0.0088	0	0
0.014399999	0	0	0.0096	0	0	0.0096	0	0
0.015599999	0	0	0.0104	0	0	0.0104	0	0
0.016799999	0	0	0.0112	0	0	0.0112	0	0
0.017999999	0	0	0.012	0	0	0.012	0	0
0.019199999	0	0	0.0128	0	0	0.0128	0	0
0.020399999	0	0	0.0136	0	0	0.0136	0	0
0.021599999	0	0	0.0144	0	0	0.0144	0	0
0.022799999	0	0	0.0152	0	0	0.0152	0	0
0.023999999	0	0	0.016	0	0	0.016	0	0
0.025199999	0	0	0.0168	0	0	0.0168	0	0
0.026399999	0	0	0.0176	0	0	0.0176	0	0
0.027599999	0	0	0.0184	0	0	0.0184	0	0
0.028799999	0	0	0.0192	0	0	0.0192	0	0
0.029999999	0	0	0.019999999	0	0	0.019999999	0	0
0.031199998	0	0	0.020799999	0	0	0.020799999	0	0
0.032399998	0	0	0.021599999	0	0	0.021599999	0	0
0.033599998	0	0	0.022399999	0	0	0.022399999	0	0
0.034799998	0	0	0.023199999	0	0	0.023199999	0	0
0.035999998	0	0	0.023999999	0	0	0.023999999	0	0
0.037199998	0	0	0.024799999	0	0	0.024799999	0	0
0.038399998	0	0	0.025599999	0	0	0.025599999	0	0
0.039599998	0	0	0.026399999	0	0	0.026399999	0	0
0.040799998	0	0	0.027199999	0	0	0.027199999	0	0
0.041999998	0	0	0.027999999	0	0	0.027999999	0	0
0.043199998	0	0	0.028799999	0	0	0.028799999	0	0
0.044399998	0	0	0.029599999	0	0	0.029599999	0	0
0.045599998	0	0	0.030399999	0	0	0.030399999	0	0
0.046799998	0	0	0.031199999	0	0	0.031199999	0	0
0.047999998	0	0	0.031999999	0	0	0.031999999	0	0
0.049199998	0	0	0.032799999	0	0	0.032799999	0	0
0.050399998	0	0	0.033599999	0	0	0.033599999	0	0
0.051599997	0	0	0.034399999	0	0	0.034399999	0	0
0.052799997	0	0	0.035199999	0	0	0.035199999	0	0
0.053999997	0	0	0.035999999	0	0	0.035999999	0	0
0.055199997	0	0	0.036799999	0	0	0.036799999	0	0
0.056399997	0	0	0.037599999	0	0	0.037599999	0	0
0.057599997	0	0	0.038399999	0	0	0.038399999	0	0
0.058799997	0	0	0.039199999	0	0	0.039199999	0	0
0.059999997	0	0	0.039999999	0	0	0.039999999	0	0
0.061199997	13	0.000247955	0.040799999	0	0	0.040799999	0	0
0.062399997	134	0.002555847	0.041599999	0	0	0.041599999	0	0
0.063599997	494	0.009422302	0.042399999	0	0	0.042399999	0	0
0.064799997	1225	0.023365021	0.043199999	0	0	0.043199999	0	0
0.065999997	2457	0.046863556	0.043999999	0	0	0.043999999	0	0
0.067199997	4320	0.082397461	0.044799999	0	0	0.044799999	0	0
0.068399997	6945	0.132465363	0.045599999	0	0	0.045599999	0	0
0.069599997	10464	0.199584961	0.046399999	0	0	0.046399999	0	0
0.070799996	15006	0.286216736	0.047199999	0	0	0.047199999	0	0
0.071999996	20663	0.394115448	0.047999999	0	0	0.047999999	0	0
0.073199996	27377	0.522174835	0.048799999	0	0	0.048799999	0	0
0.074399996	35017	0.667896271	0.049599999	0	0	0.049599999	0	0
0.075599996	43453	0.828800201	0.050399999	0	0	0.050399999	0	0
0.076799996	52555	1.002407074	0.051199999	0	0	0.051199999	0	0
0.077999996	62191	1.186199188	0.051999999	0	0	0.051999999	0	0
0.079199996	72232	1.377716064	0.052799999	0	0	0.052799999	0	0
0.080399996	82545	1.574420929	0.053599999	0	0	0.053599999	0	0
0.081599996	93002	1.773872375	0.054399999	0	0	0.054399999	0	0
0.082799996	103488	1.973876953	0.055199999	0	0	0.055199999	0	0
0.083999996	113974	2.173881531	0.055999999	0	0	0.055999999	0	0
0.085199996	124459	2.373867035	0.056799999	0	0	0.056799999	0	0
0.086399996	134945	2.573871613	0.057599999	0	0	0.057599999	0	0
0.087599996	145431	2.77387619	0.058399999	0	0	0.058399999	0	0
0.088799996	155917	2.973880768	0.059199999	0	0	0.059199999	0	0
0.089999996	166403	3.173885345	0.059999998	0	0	0.059999998	0	0
0.091199995	176888	3.37387085	0.060799998	0	0	0.060799998	0	0
0.092399995	187374	3.573875427	0.061599998	3	5.72205E-05	0.061599998	13	0.000247955
0.093599995	197860	3.773880005	0.062399998	34	0.000648499	0.062399998	73	0.001392365
0.094799995	208346	3.973884583	0.063199998	134	0.002555847	0.063199998	221	0.00421524
0.095999995	218831	4.173870087	0.063999998	339	0.006465912	0.063999998	494	0.009422302
0.097199995	229317	4.373874664	0.064799998	690	0.013160706	0.064799998	932	0.017776489
0.098399995	239803	4.573879242	0.065599998	1225	0.023365021	0.065599998	1573	0.030002594
0.099599995	250289	4.77388382	0.066399998	1982	0.03780365	0.066399998	2457	0.046863556
0.100799995	260774	4.973869324	0.067199998	3001	0.057239532	0.067199998	3621	0.069065094
0.101999995	271260	5.173873901	0.067999998	4320	0.082397461	0.067999998	5104	0.097351074
0.103199995	281746	5.373878479	0.068799998	5977	0.114002228	0.068799998	6945	0.132465363
0.104399995	292232	5.573883057	0.069599998	8012	0.152816772	0.069599998	9184	0.175170898
0.105599995	302717	5.773868561	0.070399998	10464	0.199584961	0.070399998	11857	0.226154327
