%Seriennummer:	38207		
%Standardabweichung	1.04340932	1.285099895	1.52468485
%Mittelwert	22.78458695	22.90280642	23.24585232
Punkte:	Temperatursensor1	Temperatursensor2	Temperatursensor3
-95	20.72947	20.52892	20.72947
-94	20.6292	20.52892	20.6292
-93	20.72947	20.52892	20.6292
-92	20.82975	20.82975	20.72947
-91	20.93003	21.0303	20.82975
-90	21.13058	21.23085	21.0303
-89	21.33113	21.33113	21.13058
-88	21.4314	21.33113	21.33113
-87	21.4314	21.33113	21.33113
-86	21.33113	21.33113	21.33113
-85	21.33113	21.33113	21.4314
-84	21.4314	21.33113	21.53168
-83	21.53168	21.53168	21.53168
-82	21.63195	21.73223	21.63195
-81	21.63195	21.63195	21.63195
-80	21.63195	21.4314	21.73223
-79	21.63195	21.4314	21.73223
-78	21.63195	21.53168	21.73223
-77	21.63195	21.63195	21.73223
-76	21.73223	21.8325	21.73223
-75	21.8325	21.8325	21.8325
-74	21.73223	21.53168	21.93278
-73	21.73223	21.53168	21.8325
-72	21.73223	21.53168	21.93278
-71	21.63195	21.63195	21.8325
-70	21.73223	21.73223	21.8325
-69	21.8325	21.8325	21.93278
-68	21.93278	21.73223	21.93278
-67	21.8325	21.53168	22.03305
-66	21.73223	21.53168	21.93278
-65	21.73223	21.63195	21.93278
-64	21.8325	21.8325	21.93278
-63	22.13333	22.13333	22.03305
-62	22.2336	22.2336	22.13333
-61	22.43415	22.2336	22.2336
-60	22.43415	22.2336	22.43415
-59	22.53443	22.43415	22.53443
-58	22.73498	22.6347	22.6347
-57	22.93553	22.83525	22.73498
-56	22.93553	22.83525	22.93553
-55	22.93553	22.73498	22.93553
-54	22.93553	22.73498	23.0358
-53	23.0358	22.93553	23.0358
-52	23.13608	22.93553	23.13608
-51	23.23635	23.0358	23.23635
-50	23.23635	22.93553	23.33663
-49	23.13608	22.93553	23.33663
-48	23.0358	22.93553	23.33663
-47	23.0358	22.93553	23.33663
-46	23.13608	23.13608	23.4369
-45	23.23635	23.13608	23.4369
-44	23.23635	22.93553	23.53718
-43	23.13608	22.93553	23.53718
-42	23.0358	22.93553	23.4369
-41	23.13608	23.13608	23.53718
-40	23.23635	23.23635	23.4369
-39	23.33663	23.13608	23.53718
-38	23.13608	22.93553	23.53718
-37	23.0358	22.93553	23.63745
-36	23.0358	23.0358	23.53718
-35	23.23635	23.13608	23.53718
-34	23.4369	23.4369	23.53718
-33	23.63745	23.53718	23.63745
-32	23.63745	23.53718	23.73773
-31	23.838	23.63745	23.93828
-30	23.73773	23.93828	24.13883
-29	23.838	24.13883	24.2391
-28	23.838	24.2391	24.43965
-27	23.838	24.13883	24.6402
-26	23.73773	24.2391	24.74048
-25	23.838	24.43965	24.84075
-24	24.03855	24.53993	24.94103
-23	24.13883	24.53993	25.0413
-22	23.838	24.43965	25.14158
-21	23.838	24.43965	25.14158
-20	23.838	24.53993	25.24185
-19	23.93828	24.74048	25.24185
-18	24.13883	24.74048	25.24185
-17	24.03855	24.6402	25.24185
-16	23.93828	24.53993	25.34213
-15	23.93828	24.6402	25.34213
-14	24.03855	24.74048	25.34213
-13	24.13883	24.84075	25.34213
-12	24.13883	24.6402	25.4424
-11	23.93828	24.53993	25.4424
-10	23.93828	24.6402	25.4424
-9	24.03855	24.74048	25.4424
-8	24.13883	24.84075	25.54268
-7	24.03855	24.74048	25.54268
-6	23.838	24.53993	25.4424
-5	23.93828	24.53993	25.4424
-4	23.73773	24.43965	25.4424
-3	23.63745	24.33938	25.24185
-2	23.33663	23.93828	25.14158
-1	22.93553	23.53718	24.74048
