% Steigung p=10 	Trace: 	1-10788-38139-L-26.05.2015-P10
Zeit	Istpositionmm	StromstaerkeA
0	0.026321411	4.200176239
0.001	0.044460297	3.802502871
0.002	0.059318542	3.528084278
0.003	0.085697174	3.462038994
0.004	0.10602951	3.452530622
0.005	0.140647888	3.623895168
0.006	0.166492462	3.651512623
0.007	0.209331512	3.589427948
0.007999999	0.240650177	3.572183847
0.008999999	0.291748047	3.637487888
0.009999999	0.328559875	3.729460716
0.010999999	0.387878418	3.822082996
0.011999999	0.430183411	3.961941481
0.012999999	0.497741699	3.943545818
0.013999999	0.545520782	3.715734482
0.014999999	0.621318817	3.585085392
0.015999999	0.674419403	2.807682514
0.016999999	0.75674057	1.688908339
0.017999999	0.812568665	0.254466355
0.018999999	0.896568298	-0.576232195
0.019999999	0.952568054	-0.144847065
0.020999999	1.036567688	0.275997996
0.021999998	1.092567444	0.610691667
0.022999998	1.176567078	0.57702899
0.023999998	1.232566833	0.688654602
0.024999998	1.316566467	0.644824624
0.025999998	1.372566223	0.516780972
0.026999998	1.456565857	0.416302115
0.027999998	1.512565613	0.418094635
0.028999998	1.596565247	0.313399851
0.029999998	1.652565002	0.258020133
0.030999998	1.736564636	0.318969339
0.031999998	1.792564392	0.211757451
0.032999998	1.876564026	0.320618987
0.033999998	1.932563782	0.368327558
0.034999998	2.016563416	0.547783434
0.035999998	2.072563171	0.596900284
0.036999997	2.156562805	0.632507324
0.037999997	2.212562561	0.710805953
0.038999997	2.296562195	0.531702697
0.039999997	2.352561951	0.425324619
0.040999997	2.436561584	0.34254247
0.041999997	2.49256134	0.275079548
0.042999997	2.576560974	0.208082855
0.043999997	2.63256073	0.042611718
0.044999997	2.716560364	0.209672332
0.045999997	2.77256012	0.244241744
0.046999997	2.856578827	0.188276872
0.047999997	2.912578583	0.352636725
0.048999997	2.996578217	0.582418323
0.049999997	3.052577972	0.796341062
0.050999996	3.136577606	0.67288202
0.051999996	3.192577362	0.847488344
0.052999996	3.276576996	0.843143702
0.053999996	3.332576752	0.552258372
0.054999996	3.416576385	0.483080447
0.055999996	3.472576141	0.462914079
0.056999996	3.556575775	0.555055916
0.057999996	3.612575531	0.622090518
0.058999996	3.696575165	0.719712257
0.059999996	3.752574921	0.893780649
0.060999996	3.836574554	0.820732594
0.061999996	3.89257431	0.626998842
0.062999996	3.976573944	0.564143181
0.063999996	4.0325737	0.64231652
0.064999996	4.116573334	0.398904711
0.065999995	4.17257309	0.361178279
0.066999995	4.256572723	0.422089398
0.067999995	4.312572479	0.295293748
0.068999995	4.396572113	0.190578654
0.069999995	4.452571869	0.112037994
0.070999995	4.536571503	0.228611171
0.071999995	4.592571259	0.163419992
0.072999995	4.676570892	0.212837949
0.073999995	4.732570648	0.484396219
0.074999995	4.816570282	0.530748725
0.075999995	4.872570038	0.421459436
0.076999995	4.956569672	0.407354057
0.077999995	5.012569427	0.380562752
0.078999995	5.096569061	0.297597349
0.079999994	5.152568817	0.316182286
0.080999994	5.236568451	0.582282305
0.081999994	5.292568207	0.623265266
0.082999994	5.376567841	0.518500328
0.083999994	5.432567596	0.570394814
0.084999994	5.51656723	0.649223387
0.085999994	5.572566986	0.404669017
0.086999994	5.65656662	0.413160026
0.087999994	5.712566376	0.349319875
0.088999994	5.79656601	0.243891612
0.089999994	5.852565765	0.212191388
0.090999994	5.936565399	0.144719303
0.091999994	5.992565155	0.199979261
0.092999994	6.076564789	0.314595938
0.093999994	6.132564545	0.374817014
0.094999993	6.216564178	0.41204837
0.095999993	6.272563934	0.592308998
0.096999993	6.356563568	0.603195965
0.097999993	6.412563324	0.661472976
0.098999993	6.496562958	0.700074315
0.099999993	6.552562714	0.678259134
0.100999993	6.636562347	0.507535219
0.101999993	6.692562103	0.509611666
0.102999993	6.776561737	0.51433295
0.103999993	6.832561493	0.464099556
0.104999993	6.916561127	0.520381868
0.105999993	6.972560883	0.738887548
0.106999993	7.056560516	0.896597087
0.107999993	7.112560272	0.95544827
0.108999992	7.196559906	1.028594375
0.109999992	7.252578735	0.83172816
0.110999992	7.336578369	0.653231263
0.111999992	7.392578125	0.566854298
0.112999992	7.476577759	0.493528903
0.113999992	7.532577515	0.236688823
0.114999992	7.616577148	0.093713552
0.115999992	7.672576904	0.043807194
0.116999992	7.756576538	0.139322802
0.117999992	7.812576294	0.086937636
0.118999992	7.896575928	0.173077032
0.119999992	7.952575684	0.275224864
0.120999992	8.036575317	0.471439779
0.121999992	8.092575073	0.559771597
0.122999992	8.176574707	0.55710429
0.123999991	8.232574463	0.705919266
0.124999991	8.316574097	0.528334081
0.125999991	8.372573853	0.334535629
0.126999991	8.456573486	0.162598208
0.127999991	8.512573242	0.286980748
0.128999991	8.596572876	0.338247627
0.129999991	8.652572632	0.409087777
0.130999991	8.736572266	0.515003502
0.131999991	8.792572021	0.559578478
0.132999991	8.876571655	0.48462829
0.133999991	8.932571411	0.385198295
0.134999991	9.016571045	0.454804629
0.135999991	9.072570801	0.384810865
0.136999991	9.156570435	0.275669336
0.13799999	9.21257019	0.366703153
0.13899999	9.296569824	0.259490401
0.13999999	9.35256958	0.209154442
0.14099999	9.436569214	0.157463849
0.14199999	9.49256897	0.28667289
0.14299999	9.576568604	0.282925159
0.14399999	9.632568359	0.477937937
0.14499999	9.716567993	0.631675005
0.14599999	9.772567749	0.617822587
0.14699999	9.856567383	0.471982241
0.14799999	9.912567139	0.614751399
0.14899999	9.996566772	0.717663288
0.14999999	10.05256653	0.599068761
0.15099999	10.13656616	0.557587028
0.15199999	10.19256592	0.649789453
0.152999989	10.27656555	0.835333824
0.153999989	10.33256531	0.724172294
0.154999989	10.41656494	0.827602506
0.155999989	10.4725647	0.967734098
0.156999989	10.55656433	0.776383519
0.157999989	10.61256409	0.509912193
0.158999989	10.69656372	0.526250005
0.159999989	10.75256348	0.429744363
0.160999989	10.83656311	0.222750276
0.161999989	10.89256287	0.067269728
0.162999989	10.9765625	0.057439499
0.163999989	11.03256226	0.28676483
0.164999989	11.11656189	0.208974883
0.165999989	11.17256165	0.241539896
0.166999988	11.25656128	0.414046466
0.167999988	11.31256104	0.439560711
0.168999988	11.39656067	0.426664054
0.169999988	11.45256042	0.520761192
0.170999988	11.53656006	0.446189702
0.171999988	11.59255981	0.293092012
0.172999988	11.67657852	0.355223447
0.173999988	11.73257828	0.268014252
0.174999988	11.81657791	0.304715276
0.175999988	11.87257767	0.247032985
0.176999988	11.9565773	0.323337287
0.177999988	12.01257706	0.549825609
0.178999988	12.09657669	0.646412075
0.179999988	12.15257645	0.692361653
0.180999988	12.23657608	0.666368544
0.181999987	12.29257584	0.67115891
0.182999987	12.37657547	0.344525814
0.183999987	12.43257523	0.162497222
0.184999987	12.51657486	0.244644761
0.185999987	12.57257462	0.131231159
0.186999987	12.65657425	0.03662521
0.187999987	12.71257401	0.234874219
0.188999987	12.79657364	0.313596666
0.189999987	12.85257339	0.187805444
0.190999987	12.93657303	0.344120383
0.191999987	12.99257278	0.635475814
0.192999987	13.07657242	0.642525673
0.193999987	13.13257217	0.658313215
0.194999987	13.21657181	0.783516526
0.195999986	13.27257156	0.860267043
0.196999986	13.3565712	0.673851013
0.197999986	13.41257095	0.364432991
0.198999986	13.49657059	0.440173447
0.199999986	13.55257034	0.568891704
0.200999986	13.63656998	0.574957907
0.201999986	13.69256973	0.676337063
0.202999986	13.77656937	0.909893394
0.203999986	13.83256912	0.952071607
0.204999986	13.91656876	0.670676589
0.205999986	13.97256851	0.61059612
