%	"""Nm"" "	"""1/s"" "	mm	mm	mm	"""A"" "
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz	Stromstaerke
0	6.725806713	-1.338700891	0.014686584	0.005902426	-0.006774366	9.621183395
0.0004	5.493389606	-0.841389179	0.008678436	0.004771134	-0.005619228	7.653426647
0.0008	4.261347294	-0.434498012	0.004577637	0.002613127	-0.005718917	5.749598503
0.0012	3.075691938	-0.119092569	0.002002716	0.001033647	-0.005400479	3.90525341
0.0016	1.885438919	0.110335022	0.000648499	-0.000329963	-0.005100071	2.02468276
0.002	0.713942111	0.244507402	9.53674E-05	-0.001855667	-0.005106181	0.250992268
0.0024	-0.518678844	0.295373112	0	-0.002948388	-0.004853755	-1.732962847
0.0028	-1.317731738	0.255227655	0.000114441	-0.00478402	-0.005642176	-2.549854994
0.0032	-0.92190057	0.190131515	0.000667572	-0.00520607	-0.005784929	-0.867774725
0.0036	0.463282019	0.156721145	0.002098083	-0.00476343	-0.006171316	2.108951092
0.004	2.655982494	0.243884981	0.004787445	-0.003039259	-0.006427318	5.989762306
0.0044	5.18173933	0.478762567	0.009174347	0.001343666	-0.004943758	10.20174026
0.0048	7.93975544	0.900548756	0.015621185	0.005839606	-0.003950596	14.65509605
0.0052	10.59278584	1.502501965	0.02450943	0.01179276	-0.001698881	18.67580223
0.0056	12.93398762	2.283085823	0.036182404	0.016625251	-0.000396371	22.0816021
0.006	14.83731556	3.202465534	0.050964355	0.022626047	0.002532303	24.71857834
0.0064	16.30103302	4.248446941	0.069198608	0.02620908	0.003696978	26.69337845
0.0068	17.38158226	5.383597374	0.091171265	0.028655871	0.004459918	28.08527565
0.0072	18.12311745	6.578404903	0.1171875	0.030256151	0.005103648	29.00393486
0.0076	18.69943619	7.808764458	0.147514343	0.032261177	0.006745309	29.8093586
0.008	19.12142563	9.073194504	0.182418823	0.033954687	0.008545071	30.65421867
0.0084	19.50735664	10.35620117	0.222129822	0.03558194	0.010555685	31.61423683
0.0088	19.95611	11.66147327	0.266895294	0.036397874	0.01193136	32.75676727
0.0092	20.43359947	13.00881863	0.316905975	0.035643058	0.011785477	33.93684769
0.0096	20.89555931	14.40497875	0.372409821	0.036450555	0.013253391	34.97789764
0.01	21.18476868	15.85167503	0.433559418	0.037056669	0.014606416	35.35445786
0.0104	21.58224297	17.34751511	0.500545502	0.038614608	0.017003864	36.5183754
0.0108	21.88646126	18.89453125	0.573539734	0.03738113	0.016762316	37.18114471
0.0112	22.23454857	20.45437813	0.652675629	0.037412234	0.01790747	38.09593964
0.0116	22.6931839	22.02931786	0.7380867	0.037869378	0.019478947	39.34024048
0.012	23.18150902	23.61473465	0.829906464	0.036923694	0.019545108	40.48833847
0.0124	23.4528923	25.22754669	0.928268433	0.037617511	0.021167547	40.80854416
0.0128	23.48314095	26.873806	1.033229828	0.038097948	0.022457391	40.60352325
0.0132	23.50089645	28.54067993	1.144924164	0.038453811	0.023622066	40.80743408
0.0136	24.07866669	30.23103714	1.263389587	0.040714825	0.02660349	42.9240799
0.014	24.70429611	31.93825722	1.388721466	0.040063551	0.026655644	44.22491074
0.0144	24.81367874	33.70318604	1.520957947	0.042413245	0.02973482	43.70701218
0.0148	24.47903061	35.47490692	1.660137177	0.042924793	0.031207055	42.65727997
0.0152	24.74568367	37.2618866	1.806297302	0.041629914	0.030987114	44.19864273
0.0156	25.14155388	39.04172516	1.959476471	0.042456808	0.033053905	44.88344193
0.016	24.71491432	40.85025024	2.119655609	0.04248729	0.034410506	42.91448212
0.0164	24.48916626	42.64657593	2.28685379	0.042698886	0.036257356	43.03841782
0.0168	24.95548248	44.4029007	2.461071014	0.043083197	0.038327128	44.71570587
0.0172	24.63551331	46.16621399	2.642269135	0.041668285	0.038605183	42.57015228
0.0176	24.05664253	47.91413116	2.830448151	0.040379772	0.039106756	41.66604614
0.018	24.50253677	49.62087631	3.025531769	0.039180228	0.039600283	43.69227982
0.0184	24.11850739	51.39157104	3.227500916	0.041929847	0.044141859	41.31816483
0.0188	23.90429688	53.10866928	3.43629837	0.040760944	0.044906586	41.77602005
0.0192	24.08937836	54.82022858	3.651847839	0.039516026	0.045706779	42.06371307
0.0196	23.41922379	56.53505707	3.874073029	0.038123019	0.046542138	39.71202087
0.019999999	23.5500412	58.18919373	4.102935791	0.036502257	0.047221929	41.16117859
0.020399999	22.78446198	59.84649277	4.338302612	0.036518192	0.049638003	37.77197266
0.020799999	22.64590836	61.43912506	4.580097198	0.035144696	0.050718933	38.91151047
0.021199999	22.43486404	63.03660583	4.828205109	0.032278877	0.050238222	37.43301773
0.021599999	21.98819351	64.56570435	5.082511902	0.031716432	0.052208155	36.86652374
0.021999999	21.60144806	66.13064575	5.342922211	0.031385655	0.054388791	35.2433815
0.022399999	21.29508972	67.60418701	5.609302521	0.029209144	0.054886192	35.37871552
0.022799999	21.04524231	69.07173157	5.881519318	0.027008755	0.055318028	34.12259674
0.023199999	20.43649101	70.45800018	6.159439087	0.026599243	0.05753234	33.02307892
0.023599999	20.12033081	71.86187744	6.442890167	0.024907067	0.058401376	31.94308662
0.023999999	19.78815269	73.15635681	6.731758118	0.023735389	0.059791952	31.66518974
0.024399999	19.36294556	74.49861145	7.025871277	0.019998811	0.058595091	29.94639206
0.024799999	19.00727081	75.71524811	7.325077057	0.019395063	0.060458928	29.79213142
0.025199999	18.0239296	76.97174072	7.629203796	0.017851554	0.061525255	27.33711243
0.025599999	17.68219185	78.05606079	7.93806076	0.016172724	0.06214574	27.61026573
0.025999999	16.85240364	79.19774628	8.251514435	0.015158262	0.063528083	25.86225891
0.026399999	16.33869171	80.25117493	8.569335938	0.012673717	0.062946826	25.07578087
0.026799999	15.83518982	81.2408905	8.891372681	0.010486264	0.063151345	24.85135651
0.027199999	14.86635017	82.28005981	9.217414856	0.011335481	0.065661818	22.45801353
0.027599999	14.28683949	83.09562683	9.547271729	0.009167697	0.065664798	22.09910393
0.027999999	13.49777508	84.06271362	9.880752563	0.007691178	0.065714121	20.70477486
0.028399999	12.95179462	84.78083801	10.21766663	0.007680859	0.067468882	19.67283058
0.028799999	12.22024918	85.61494446	10.55778503	0.005025435	0.066282451	18.83642387
0.029199999	11.35810184	86.27646637	10.90089798	0.004399735	0.067011565	16.95571518
0.029599999	10.80127239	86.97128296	11.2468338	0.004615951	0.068679899	16.50514221
0.029999999	10.05396557	87.53834534	11.59532547	0.002530627	0.067649037	15.37999153
0.030399999	9.22064209	88.1108551	11.94618225	0.001833569	0.068138391	13.65303612
0.030799999	8.603095055	88.59239197	12.29919434	0.00230616	0.069404393	13.1087141
0.031199999	7.830372334	89.04161072	12.65413284	0.000798125	0.068892986	11.77531052
0.031599999	7.055485249	89.42944336	13.01078796	1.64844E-05	0.068667084	10.41151714
0.031999999	6.43358326	89.7275238	13.36889267	0.00071371	0.070213825	9.658699036
0.032399999	5.649654865	90.05081177	13.7282753	-0.000265688	0.069550723	7.897430897
0.032799999	4.753547668	90.20256805	14.08866882	-0.001194924	0.069158524	6.780194283
0.033199999	4.123558521	90.42475891	14.44986343	-0.000348613	0.070217401	6.05587101
0.033599999	3.303934813	90.48466492	14.81163025	-0.001862273	0.068964213	4.557732582
0.033999999	2.562851429	90.57873535	15.17374039	-0.000105295	0.070840865	3.022448063
0.034399999	1.636138558	90.51724243	15.53596497	-0.002142563	0.06882593	2.016595364
0.034799999	1.167165279	90.49601746	15.8980751	-0.002344325	0.068658143	1.573275805
0.035199999	0.124495819	90.3505249	16.25982285	-0.001917072	0.06879881	-0.618129015
0.035599999	-0.60849756	90.18816376	16.62099838	-0.002066083	0.068656951	-1.523421764
0.035999999	-1.344473839	89.9858551	16.98137283	-0.003019869	0.067340881	-2.643075705
0.036399999	-2.275383949	89.66706085	17.34071732	-0.003052969	0.067207962	-4.337178707
0.036799999	-3.061031818	89.36425781	17.69880295	-0.002392754	0.067454129	-5.389260769
0.037199999	-3.928551912	88.93774414	18.05540085	-0.004193314	0.065502436	-6.801092625
