%	Polynom 5te Ordnung		kombinierte Traces									
Zeit	Geschwindigkeit	StandardabweichungGeschwindigkeit	Drehmoment	StandardabweichungDrehmoment	Position	StandardabweichungPosition	Schleppfehler	StandardabweichungSchleppfehler	Positionsdifferenz	StandardabweichungPositionsdifferenz	Stromstaerke	StandardabweichungStromstaerke
0	-2.0781464	0.873656848	8.231235471	1.785675831	0.014584485	0.002945405	0.010928374	0.003794094	-0.008054566	0.004468151	12.02054103	2.840047668
0.0004	-1.483288181	0.750871043	7.044552569	1.825946473	0.005916521	0.005298746	0.009020385	0.00372026	-0.007727383	0.004620131	10.13575229	2.903506728
0.0008	-0.9752241	0.624840285	5.833838168	1.863781962	-0.000523586	0.007824151	0.007272179	0.003631234	-0.007332265	0.004560748	8.214475997	2.961552419
0.0012	-0.549712988	0.496349413	4.614192185	1.878876558	-0.005066816	0.009985005	0.005390855	0.0034969	-0.007194982	0.004597725	6.288386574	2.978044314
0.0016	-0.214862423	0.37198027	3.405198611	1.800922467	-0.008042653	0.011707229	0.003677233	0.003261694	-0.007008355	0.0045825	4.410708949	2.747328294
0.002	0.032370009	0.251287264	2.247515885	1.558289619	-0.009776845	0.013031569	0.0021349	0.003045002	-0.006827765	0.00459755	2.640093748	2.280745167
0.0024	0.189948026	0.148716385	1.174045459	1.321589643	-0.010584663	0.014035357	0.000748525	0.002599392	-0.006690218	0.004546421	1.028368172	2.090116576
0.0028	0.270739274	0.068593203	0.238788845	1.380955546	-0.010747723	0.014859514	-0.000548964	0.002459098	-0.006725622	0.004624128	-0.300251986	2.46924757
0.0032	0.289747911	0.093373559	-0.190989258	1.654844669	-0.01038383	0.015769389	-0.001452349	0.002394266	-0.006785504	0.004604527	-0.517143449	3.10471784
0.0036	0.288144433	0.193755468	0.050329514	2.268154652	-0.009407343	0.017096143	-0.001687134	0.002887305	-0.006825801	0.004586406	0.415710078	4.289365727
0.004	0.315516702	0.331490084	1.140499364	3.016270692	-0.007562824	0.019034689	-0.000972989	0.004070365	-0.006780274	0.004297882	2.816994884	5.382361554
0.0044	0.429576539	0.509777639	2.975760616	3.553085944	-0.004463944	0.0216042	0.000995075	0.005170965	-0.006430684	0.004285142	6.247261564	5.965312861
0.0048	0.67406484	0.721643173	5.302786812	3.783871663	0.000287598	0.024771687	0.004139034	0.006074673	-0.005765519	0.004200621	10.23614067	6.066162363
0.0052	1.078648456	0.946199798	7.844135976	3.71219992	0.007078133	0.02850574	0.007962687	0.006671887	-0.00502523	0.004236498	14.33921602	5.728349569
0.0056	1.651137811	1.161257084	10.34268765	3.392144642	0.016278286	0.032772849	0.012336522	0.006782951	-0.0040289	0.004165901	18.18376928	5.052450323
0.006	2.386585698	1.357680621	12.6371641	2.905123771	0.028237736	0.037544154	0.016808666	0.006505863	-0.002904806	0.004316048	21.60311862	4.168708189
0.0064	3.268766492	1.523684642	14.56277249	2.330900325	0.043293822	0.042796571	0.02119857	0.005921913	-0.001554667	0.004267373	24.34538897	3.271661661
0.0068	4.27189	1.657492704	16.10243863	1.78773279	0.061767055	0.048500952	0.024965479	0.005066739	-0.000312819	0.004276315	26.47156693	2.484619707
0.0072	5.37243664	1.761133012	17.28357798	1.339486485	0.083961861	0.054636015	0.028031911	0.004087168	0.000835286	0.004321217	28.0883516	1.926825543
0.0076	6.544775093	1.8411644	18.13950643	1.02122489	0.110169579	0.061177373	0.030669067	0.003260419	0.002192197	0.004473166	29.25282482	1.648088024
0.008	7.768560643	1.903371772	18.77962991	0.7911757	0.140669206	0.068102337	0.032692766	0.002601618	0.003505638	0.004717052	30.2408825	1.512610589
0.0084	9.03185778	1.956845277	19.28200441	0.679591804	0.175713932	0.075389091	0.034229618	0.002486544	0.004817911	0.004904432	31.14301846	1.536168275
0.0088	10.32809517	2.002807496	19.69384246	0.664020377	0.215554705	0.083018975	0.035142807	0.002485311	0.005864542	0.004895087	32.05119933	1.614890079
