%	1-10788-38173-M-16.06.2015_P10					
%	"""Nm"" "	mm				
Zeit	Drehmoment	Geschwindigkeit	Position	Schleppfehler	Positionsdifferenz	Stromstaerke
0	8.108137131	-1.813733101	0.016021729	0.011131582	-0.002335757	11.80858612
0.0004	6.850324631	-1.227660418	0.008544922	0.009522542	-0.001878887	9.770376205
0.0008	5.547197819	-0.72507894	0.003204346	0.008086916	-0.0012438	7.707813263
0.0012	4.227541924	-0.317429096	-0.000343323	0.006487007	-0.000867099	5.609707832
0.0016	2.904922009	-0.006751366	-0.00246048	0.004369699	-0.001071543	3.524150133
0.002	1.616848588	0.204618737	-0.003509521	0.002343775	-0.001326948	1.542728066
0.0024	0.471129179	0.312334776	-0.003871918	0.001002798	-0.001029223	-0.010775745
0.0028	-0.939007223	0.336879611	-0.003890991	-0.000986454	-0.001562536	-2.530950069
0.0032	-1.431529403	0.27782324	-0.003662109	-0.001740463	-0.001277775	-2.427308559
0.0036	-0.634533525	0.208222866	-0.002880096	-0.001921631	-0.001368672	-0.107576028
0.004	1.043459535	0.203451514	-0.001068115	-0.001097298	-0.001632422	3.116344452
0.0044	3.358597755	0.321542472	0.00213623	0.002120711	-0.00063464	7.197833538
0.0048	5.982841969	0.610531688	0.007171631	0.005197611	-0.000658333	11.48807335
0.0052	8.885285378	1.077734232	0.014400482	0.010465034	0.000998825	16.20904922
0.0056	11.51823807	1.723973155	0.024166107	0.015355618	0.002145618	20.12053299
0.006	13.82897854	2.542823076	0.036849976	0.020215751	0.003477633	23.47711563
0.0064	15.57486725	3.495089531	0.05273819	0.024399613	0.004634112	25.70446396
0.0068	16.94113541	4.561511993	0.072193146	0.028222171	0.006058961	27.56354523
0.0072	18.00925064	5.700692177	0.095481873	0.031006918	0.007135272	29.05808258
0.0076	18.80589676	6.896730423	0.122909546	0.033038286	0.008073151	30.14071083
0.008	19.26138496	8.137493134	0.154724121	0.034586412	0.009056479	31.04616547
0.0084	19.65397835	9.412795067	0.1912117	0.034929588	0.009253174	31.95204544
0.0088	20.02623558	10.72437286	0.232582092	0.036262115	0.010767579	32.81996536
0.0092	20.38083458	12.06964493	0.279064178	0.038810244	0.013706684	33.63336945
0.0096	20.73868752	13.45064545	0.330905914	0.039856955	0.015306622	34.5159874
0.01	21.08199692	14.88151932	0.388259888	0.03960087	0.015721023	35.29840088
0.0104	21.40182686	16.36103439	0.451335907	0.04018059	0.017135739	36.05367661
0.0108	21.79793167	17.87346077	0.520305634	0.040791202	0.018711686	37.11965942
0.0112	22.30165672	19.39407539	0.595321655	0.041591451	0.020541251	38.41341019
0.0116	22.84173203	20.93678093	0.67653656	0.040774206	0.02068758	39.71472931
0.012	23.27194023	22.49830818	0.764083862	0.041402187	0.022176206	40.56512833
0.0124	23.51442909	24.08935165	0.858078003	0.041642813	0.023150444	40.91838837
0.0128	23.57476044	25.71977234	0.958614349	0.041604508	0.023774207	40.91070175
0.0132	23.84925079	27.36950302	1.065826416	0.043337187	0.026127398	41.96579361
0.0136	24.48908234	29.04231262	1.179771423	0.043018628	0.02632767	43.89598846
0.014	25.0398159	30.75076866	1.300506592	0.045605209	0.029403865	44.8637886
0.0144	25.03546524	32.49559021	1.428127289	0.047251433	0.031598508	44.04946899
0.0148	24.86045074	34.28910828	1.562690735	0.048985234	0.034128129	43.847332
0.0152	25.26578903	36.06216431	1.70419693	0.048892256	0.035013258	45.50946426
0.0156	25.61807823	37.87379837	1.852684021	0.050907754	0.038184822	45.93563843
0.016	25.24962044	39.67582321	2.008190155	0.050167134	0.038810074	44.23244095
0.0164	25.0816803	41.48397446	2.170734406	0.051561203	0.041867197	44.50893021
0.0168	25.46750832	43.24895477	2.340259552	0.054111201	0.046098828	45.79665756
0.0172	25.15921974	45.02418518	2.516822815	0.054875603	0.048673749	44.06698608
0.0176	24.77078438	46.78928375	2.7003479	0.054809134	0.050460994	43.51810837
0.018	25.30120659	48.52133179	2.890815735	0.055834297	0.053402185	45.66968536
0.0184	25.04902267	50.30401611	3.088207245	0.055957688	0.055467784	43.62714767
0.0188	24.64480209	52.05342484	3.29246521	0.057082716	0.058915615	43.27123642
0.0192	24.85716438	53.81321716	3.503513336	0.057199104	0.061389804	44.05179977
0.0196	24.28305435	55.56286621	3.721294403	0.057215737	0.064173341	41.77126312
0.019999999	24.30559731	57.25972748	3.94575119	0.056082718	0.065976381	42.82795715
0.020399999	23.81135178	58.95411682	4.17678833	0.054692803	0.06768167	40.37089539
0.020799999	23.30547333	60.5778923	4.414310455	0.055884756	0.072174072	40.04439926
0.021199999	23.21059418	62.20532227	4.658222198	0.053700944	0.07320106	39.56383133
0.021599999	22.71153831	63.780056	4.908409119	0.052918252	0.075892508	38.43952942
0.021999999	22.60876083	65.35417175	5.164775848	0.050493926	0.076897144	38.23948288
0.022399999	21.97095299	66.87102509	5.427188873	0.05021424	0.080356896	36.42411041
0.022799999	21.69349861	68.38664246	5.695533752	0.047068819	0.080785155	36.17091751
0.023199999	21.15897751	69.81004333	5.969657898	0.043853642	0.081455708	34.60306168
0.023599999	20.9473381	71.21604919	6.249446869	0.04335898	0.084559619	34.12401962
0.023999999	20.28400993	72.54264832	6.534729004	0.041532824	0.086504817	32.45214081
0.024399999	19.95833588	73.89375305	6.825351715	0.03919892	0.08761853	31.62474442
0.024799999	19.55970573	75.13267517	7.121181488	0.035223216	0.087369084	30.99137497
0.025199999	19.10941696	76.41143799	7.422046661	0.033349041	0.088866055	29.34234047
0.025599999	18.46289635	77.51548767	7.727775574	0.030477736	0.089473724	28.64741707
0.025999999	17.7037735	78.72077179	8.03817749	0.027413312	0.089536309	27.13179207
0.026399999	17.3139286	79.72639465	8.353099823	0.025929827	0.091243144	26.84856224
0.026799999	16.39780045	80.82713318	8.672351837	0.022914615	0.091171302	25.15130234
