%Seriennummer:	38207						
%Standardabweichung	0.126951651	0.038623982	0.022925159	0.156966364	1.04340932	1.285099895	1.52468485
%Mittelwert	0.803429949	0.852430369	0.931007972	0.76483879	22.78458695	22.90280642	23.24585232
Punkte:	StromLauf1	StromLauf2	StromLauf3	StromLauf4	Temperatursensor1	Temperatursensor2	Temperatursensor3
-500	0.8365456	0.8365456	0.9711621				
-499	0.8846229	0.8173147	0.9327003				
-498	0.8846229	0.8557765	0.9327003				
-497	0.8365456	0.865392	0.9519312				
-496	0.8269302	0.8750075	0.9615467				
-495	0.8557765	0.8750075	0.9423158				
-494	0.9230848	0.8076992	0.9230848				
-493	0.8173147	0.9134694	0.9230848				
-492	0.865392	0.9327003	0.9038539				
-491	0.8557765	0.8269302	0.9327003				
-490	0.7884683	0.8557765	0.9134694				
-489	0.8557765	0.8461611	0.9327003				
-488	0.9038539	0.8365456	0.9807776				
-487	0.9230848	0.8557765	0.9423158				
-486	0.9038539	0.8173147	0.9038539				
-485	0.8557765	0.865392	0.9134694				
-484	0.7980838	0.9038539	0.9903931				
-483	0.8846229	0.8461611	0.9134694				
-482	0.9230848	0.8461611	0.9423158				
-481	0.8557765	0.8365456	0.9327003				
-480	0.8173147	0.8461611	0.9711621				
-479	0.865392	0.8076992	0.9327003				
-478	0.3076949	0.8076992	0.9519312				
-477	0.8557765	0.8750075	0.9230848				
-476	0.8365456	0.8942384	0.9711621				
-475	0.865392	0.8269302	0.9230848				
-474	0.8942384	0.8269302	0.9230848				
-473	0.7596219	0.8942384	0.9134694				
-472	0.8557765	0.8365456	0.9615467				
-471	0.8846229	0.8365456	0.9230848				
-470	0.7980838	0.865392	0.9230848				
-469	0.8269302	0.8557765	0.9038539				
-468	0.8557765	0.8269302	0.9519312				
-467	0.9038539	0.8269302	0.9134694				
-466	0.8269302	0.8269302	0.9615467				
-465	0.7692373	0.8173147	0.9134694				
-464	0.8076992	0.9423158	0.9615467				
-463	0.8750075	0.8461611	0.8942384				
-462	0.8173147	0.7980838	0.9615467				
-461	0.8173147	0.8365456	0.8942384				
-460	0.8269302	0.8076992	0.9519312				
-459	0.865392	0.8365456	0.9230848				
-458	0.8269302	0.8173147	0.9230848				
-457	0.8076992	0.8461611	0.865392				
-456	0.865392	0.8942384	0.9230848				
-455	0.8557765	0.8461611	0.9327003				
-454	0.3269259	0.9038539	0.9230848				
-453	0.8173147	0.9230848	0.9327003				
-452	0.7692373	0.9615467	0.9519312				
-451	0.8557765	0.865392	0.9423158				
-450	0.8750075	0.8557765	0.9423158				
-449	0.8365456	0.8365456	0.9327003				
-448	0.8076992	0.9327003	0.9423158				
-447	0.8750075	0.8365456	0.9230848				
-446	0.8942384	0.8269302	0.9134694				
-445	0.8076992	0.8269302	0.9615467				
-444	0.8076992	0.8942384	0.9134694				
-443	0.8750075	0.8461611	0.9134694				
-442	0.865392	0.8365456	0.9327003				
-441	0.8365456	0.8750075	0.9230848				
-440	0.7980838	0.9423158	0.9807776				
-439	0.8942384	0.8365456	0.9327003				
-438	0.8461611	0.8173147	0.9327003				
-437	0.5096198	0.8942384	0.9038539				
-436	0.8269302	0.8750075	0.9423158				
-435	0.8942384	0.865392	0.9230848				
-434	0.8365456	0.8173147	0.9230848				
-433	0.8557765	0.8076992	0.8942384				
-432	0.865392	0.8557765	0.9423158				
-431	0.8557765	0.8173147	0.9230848				
-430	0.8942384	0.8269302	0.9230848				
-429	0.8557765	0.865392	0.9230848				
-428	0.8461611	0.865392	0.9519312				
-427	0.9134694	0.8557765	0.9038539				
-426	0.9230848	0.8461611	0.9807776				
-425	0.8269302	0.8750075	0.9038539				
-424	0.8173147	0.8846229	0.9615467				
-423	0.9134694	0.8750075	0.9134694				
-422	0.8269302	0.8076992	0.9711621				
-421	0.8942384	0.8365456	0.9134694				
-420	0.7980838	0.9134694	0.9327003				
-419	0.9134694	0.8365456	0.9230848				
-418	0.8365456	0.8461611	0.9423158				
-417	0.8173147	0.8461611	0.9134694				
-416	0.8461611	0.8846229	0.9230848				
-415	0.8557765	0.8269302	0.9519312				
-414	0.865392	0.8173147	0.9327003				
-413	0.8557765	0.7884683	0.8942384				
-412	0.865392	0.8846229	0.9711621				
-411	0.8750075	0.8365456	0.9134694				
-410	0.8365456	0.8173147	0.9519312				
-409	0.7980838	0.8557765	0.9230848				
-408	0.8269302	0.8365456	0.9615467				
-407	0.865392	0.8269302	0.9519312				
-406	0.7884683	0.865392	0.9423158				
-405	0.4807734	0.8750075	0.9038539				
-404	0.865392	0.8461611	0.9423158				
-403	0.8269302	0.8557765	0.9423158				
-402	0.3653877	0.8557765	0.9423158				
-401	0.865392	0.8365456	0.9134694				
-400	0.8076992	0.8557765	0.9903931				
-399	0.8750075	0.8461611	0.9327003				
-398	0.8461611	0.7980838	0.9134694				
-397	0.9230848	0.8557765	0.9038539				
-396	0.7980838	0.9711621	0.9711621				
-395	0.8557765	0.7980838	0.9134694				
-394	0.865392	0.8365456	0.9134694				
-393	0.8750075	0.8365456	0.9230848				
-392	0.8365456	0.9038539	0.9615467				
-391	0.9038539	0.8846229	0.9711621				
-390	0.3269259	0.8076992	0.9519312				
-389	0.8846229	0.865392	0.9134694				
-388	0.8461611	0.9327003	0.9519312				
-387	0.8846229	0.8365456	0.9327003				
-386	0.8846229	0.8076992	0.9230848				
-385	0.8557765	0.8461611	0.9134694				
-384	0.7596219	0.9230848	0.9230848				
-383	0.8461611	0.8557765	0.9327003				
-382	0.8461611	0.8461611	0.9230848				
-381	0.8269302	0.865392	0.9230848				
-380	0.8557765	0.7884683	0.9327003				
-379	0.8461611	0.8076992	0.9423158				
-378	0.3557723	0.8076992	0.9519312				
-377	0.5192352	0.9327003	0.9230848				
-376	0.8269302	0.9519312	1.009624				
-375	0.8461611	0.7980838	0.9230848				
-374	0.9519312	0.8076992	0.9519312				
-373	0.865392	0.8461611	0.9038539				
-372	0.8557765	0.865392	0.9519312				
-371	0.8365456	0.8173147	0.9423158				
-370	0.8942384	0.8365456	0.9423158				
-369	0.8076992	0.8846229	0.9327003				
-368	0.8173147	0.8076992	0.9327003				
-367	0.8461611	0.8076992	0.9038539				
-366	0.8750075	0.8076992	0.9423158				
-365	0.8750075	0.8461611	0.9038539				
-364	0.8365456	0.8846229	0.9327003				
-363	0.8750075	0.8173147	0.9230848				
-362	0.8461611	0.8365456	0.9134694				
-361	0.5288507	0.8557765	0.9327003				
-360	0.8557765	0.8461611	0.9711621				
-359	0.8365456	0.8173147	0.9327003				
-358	0.4134651	0.8173147	0.9134694				
-357	0.8461611	0.8269302	0.9134694				
-356	0.8269302	0.8846229	0.9615467				
-355	0.8557765	0.8365456	0.9423158				
-354	0.7980838	0.7884683	0.9230848				
-353	0.8269302	0.8269302	0.9327003				
-352	0.8846229	0.8942384	0.9615467				
