%	Motor: Torque	Motor: Torque	Motor: Torque	Motor: Torque	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Speed controller: Actual speed	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Lag error	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Position controller: Set position	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference	CTRL Two encoder control: Positions difference
Zeit	MittelwertMotorTorque	StandardabweichungMotorTorque	minus3sigmaMotorTorque	plus3sigmaMotorTorque	MittelwertActualSpeed	StandardabweichungActualSpeed	minus3sigmaActualSpeed	plus3sigmaActualSpeed	MittelwertLagError	StandardabweichungMittelwertLagError	minus3sigmaMittelwertLagError	plus3sigmaMittelwertLagError	MittelwertSetPosition	StandardabweichungSetPosition	minus3sigmaSetPosition	plus3sigmaSetPosition	MittelwertPositionsDifference	StandardabweichungPositionsDifference	minus3sigmaPositionsDifference	plus3sigmaPositionsDifference
0	7.60858E-05	6.17501E-06	5.75608E-05	9.46108E-05	-2.17173E-05	3.38574E-06	-3.18745E-05	-1.15601E-05	0.003366497	0.001982838	-0.002582018	0.009315012	0.011966273	0.002425826	0.004688797	0.01924375	-0.00433486	0.00261095	-0.01216771	0.003497989
0.0008	5.37965E-05	5.9945E-06	3.5813E-05	7.178E-05	-1.10826E-05	2.59213E-06	-1.8859E-05	-3.30624E-06	0.002555703	0.001854167	-0.003006799	0.008118205	0.004687399	0.001280297	0.000846509	0.00852829	-0.00399641	0.002565186	-0.011691967	0.003699148
0.0016	3.15957E-05	6.0357E-06	1.34886E-05	4.97028E-05	-3.68162E-06	1.76616E-06	-8.98011E-06	1.61687E-06	0.00174858	0.00165254	-0.00320904	0.006706199	0.001210986	0.000500567	-0.000290715	0.002712688	-0.003841879	0.002629515	-0.011730425	0.004046667
0.0024	9.61433E-06	5.36075E-06	-6.46794E-06	2.56966E-05	4.41828E-07	9.00467E-07	-2.25957E-06	3.14323E-06	0.000959401	0.001571952	-0.003756454	0.005675257	0.000106524	8.66366E-05	-0.000153386	0.000366434	-0.003790794	0.002582071	-0.011537008	0.003955421
0.0032	-1.10678E-05	4.79707E-06	-2.5459E-05	3.32343E-06	1.09462E-06	4.16393E-07	-1.54554E-07	2.3438E-06	0.000489616	0.001623833	-0.004381882	0.005361113	0	0	0	0	-0.00358489	0.002574737	-0.011309102	0.004139321
0.004	-1.7912E-05	1.21543E-06	-2.15583E-05	-1.42657E-05	-6.72099E-07	5.59073E-07	-2.34932E-06	1.00512E-06	6.58378E-05	0.001591867	-0.004709763	0.004841438	0	0	0	0	-0.003934044	0.002599832	-0.011733539	0.003865451
0.0048	-1.31424E-05	2.16228E-06	-1.96292E-05	-6.65554E-06	-2.36385E-06	3.42076E-07	-3.39008E-06	-1.33762E-06	0.000452776	0.001589223	-0.004314894	0.005220446	0	0	0	0	-0.004326859	0.002583832	-0.012078354	0.003424637
0.0056	-6.49987E-06	2.01254E-06	-1.25375E-05	-4.62252E-07	-3.05163E-06	2.87526E-07	-3.91421E-06	-2.18905E-06	0.00172414	0.00169039	-0.00334703	0.00679531	0	0	0	0	-0.004282911	0.002506524	-0.011802485	0.003236662
0.0064	-1.87061E-06	1.20986E-06	-5.5002E-06	1.75899E-06	-2.94421E-06	3.78488E-07	-4.07967E-06	-1.80875E-06	0.003124498	0.001574609	-0.001599329	0.007848325	0	0	0	0	-0.004176914	0.00265022	-0.012127573	0.003773746
0.0072	-3.36005E-07	5.19561E-07	-1.89469E-06	1.22268E-06	-2.33481E-06	4.48753E-07	-3.68107E-06	-9.88554E-07	0.004340585	0.001493015	-0.000138459	0.008819628	0	0	0	0	-0.004055899	0.002581619	-0.011800757	0.003688959
