Zeit1	Lauf1Units	Zeit2	Lauf2Units	Zeit3	Lauf3Units
0	2.123683691	0	2.539136887	0	2.014663458
0.0012	1.106259584	0.0008	1.863429189	0.0008	1.382937193
0.0024	0.179326549	0.0016	1.24499917	0.0016	0.74399966
0.0036	-0.578063369	0.0024	0.617058218	0.0024	0.146317974
0.0048	-0.691553652	0.0032	0.082184076	0.0032	-0.404185444
0.006	-0.431318849	0.004	-0.577982545	0.004	-0.910616755
0.0072	-0.324173957	0.0048	-0.873342097	0.0048	-0.862437904
0.0084	-0.281774372	0.0056	-0.776051521	0.0056	-0.686750054
0.0096	-0.326730102	0.0064	-0.568622708	0.0064	-0.579371393
0.010799999	-0.369625509	0.0072	-0.487686664	0.0072	-0.50860399
0.011999999	-0.368642956	0.008	-0.471866906	0.008	-0.553835154
0.013199999	-0.395155489	0.0088	-0.469256938	0.0088	-0.639847875
0.014399999	-0.377438813	0.0096	-0.503179073	0.0096	-0.657882333
0.015599999	-0.359603494	0.0104	-0.540408134	0.0104	-0.657751679
0.016799999	-0.368214011	0.0112	-0.575262785	0.0112	-0.638581872
0.017999999	-0.343064427	0.012	-0.580248237	0.012	-0.633728504
0.019199999	-0.319148988	0.0128	-0.581415832	0.0128	-0.655357301
0.020399999	-0.292100042	0.0136	-0.581456304	0.0136	-0.605560899
0.021599999	-0.273912251	0.0144	-0.56591177	0.0144	-0.599951148
0.022799999	-0.254043549	0.0152	-0.561393797	0.0152	-0.587613761
0.023999999	-0.24777703	0.016	-0.573576212	0.016	-0.585894108
0.025199999	-0.247149229	0.0168	-0.551371336	0.0168	-0.580169737
0.026399999	-0.200834453	0.0176	-0.559714675	0.0176	-0.568122685
0.027599999	-0.186049402	0.0184	-0.55235225	0.0184	-0.568748534
0.028799999	-0.173206434	0.0192	-0.551659524	0.0192	-0.528466403
0.029999999	-0.147302896	0.019999999	-0.515710175	0.019999999	-0.513712168
0.031199998	-0.143648595	0.020799999	-0.515204132	0.020799999	-0.496119499
0.032399998	-0.111467078	0.021599999	-0.509547472	0.021599999	-0.493925065
0.033599998	-0.097652361	0.022399999	-0.494691879	0.022399999	-0.456483155
0.034799998	-0.085745119	0.023199999	-0.460401028	0.023199999	-0.430370927
0.035999998	-0.064830415	0.023999999	-0.442961752	0.023999999	-0.418468207
0.037199998	-0.040756322	0.024799999	-0.437727571	0.024799999	-0.408830553
0.038399998	-0.032911137	0.025599999	-0.428765953	0.025599999	-0.356403291
0.039599998	-0.026261995	0.026399999	-0.403295845	0.026399999	-0.390023023
0.040799998	-0.090299658	0.027199999	-0.402435333	0.027199999	-0.344730258
0.041999998	-0.078288473	0.027999999	-0.381929606	0.027999999	-0.334337562
0.043199998	-0.019328076	0.028799999	-0.380404949	0.028799999	-0.327067196
0.044399998	-0.030143524	0.029599999	-0.340608954	0.029599999	-0.303421944
0.045599998	-0.009940102	0.030399999	-0.340672553	0.030399999	-0.271841556
0.046799998	-0.018104883	0.031199999	-0.342767835	0.031199999	-0.259353518
0.047999998	-0.02643846	0.031999999	-0.319263697	0.031999999	-0.253506333
0.049199998	-0.020818289	0.032799999	-0.299852908	0.032799999	-0.224029526
0.050399998	-0.002606271	0.033599999	-0.296919614	0.033599999	-0.223610207
0.051599997	0.002132975	0.034399999	-0.272761077	0.034399999	-0.185841486
0.052799997	0.005768474	0.035199999	-0.24259612	0.035199999	-0.181505695
0.053999997	0.010032604	0.035999999	-0.21057415	0.035999999	-0.172568649
0.055199997	-0.005225462	0.036799999	-0.250571132	0.036799999	-0.149823457
0.056399997	0.001210542	0.037599999	-0.229993343	0.037599999	-0.13117829
0.057599997	-0.002312108	0.038399999	-0.210267946	0.038399999	-0.130019486
0.058799997	0.018870767	0.039199999	-0.198397592	0.039199999	-0.088456102
0.059999997	0.00968617	0.039999999	-0.191016272	0.039999999	-0.077923164
0.061199997	0.34687227	0.040799999	-0.179726899	0.040799999	-0.083939642
0.062399997	1.760598302	0.041599999	-0.179727659	0.041599999	-0.045157317
