Ampere	Zyklus1	Zyklus2	Zyklus3	Zyklus4
0.5	0	0	0	1
0.6	0	0	0	3
0.7	0	0	0	1
0.8	0	0	0	1
0.9	0	0	0	0
1	0	0	0	0
1.1	1	0	0	0
1.2	1	0	0	1
1.3	0	0	0	0
1.4	0	0	0	2
1.5	0	0	0	0
1.6	2	0	0	1
1.7	0	0	0	0
1.8	0	0	0	2
1.9	0	0	0	2
2	1	0	0	13
2.1	2	1	0	12
2.2	6	0	0	12
2.3	10	0	0	8
2.4	6	0	0	22
2.5	5	0	0	21
2.6	6	0	0	26
2.7	4	1	0	24
2.8	22	0	0	8
2.9	29	1	0	10
3	31	5	0	6
3.1	24	4	1	6
3.2	9	9	0	3
3.3	9	18	0	6
3.4	6	35	0	8
3.5	11	34	4	6
3.6	10	18	0	4
3.7	5	18	0	0
3.8	3	5	5	0
3.9	4	10	5	0
4	0	10	14	1
4.1	1	3	47	0
4.2	1	3	18	1
4.3	1	3	36	0
4.4	0	3	11	0
4.5	0	5	7	0
4.6	0	5	4	0
4.7	1	5	6	0
4.8	0	1	5	0
4.9	0	3	3	0
5	0	3	4	0
5.1	0	2	3	0
5.2	0	1	3	0
5.3	0	1	2	0
5.4	0	0	2	0
5.5	0	3	6	0
5.6	0	0	3	0
5.7	0	0	0	0
5.8	0	1	1	0
5.9	0	0	2	0
6	0	0	4	0
6.1	0	0	4	0
6.2	0	0	5	0
6.3	0	0	1	0
6.4	0	0	2	0
6.5	0	0	1	0
6.6	0	0	0	0
6.7	0	0	0	0
6.8	0	0	0	0
6.9	0	0	1	0
7	0	0	1	0
7.1	0	0	0	0
7.2	0	0	0	0
